"projectID","name","shortName","shortDescription","description","group","primaryUser"
19,"Dossman_Jamaica","Jamaica","Movement and space-use during the non-breeding season and migration.","NULL","1","205"
20,"Gugli","Gugli","A slough of projects dealing with migration and stopover ecology of migratory songbirds and bats at Long Point and throughout Canada.","A variety of projects dealing with migration and stopover ecology of migratory songbirds and bats at Long Point and throughout Canada.[BR]Chris Guglielmo & Yolanda Morbey - Western University","1","240"
21,"Taylor - Gull","TaylorGull","Gull work on Sable Island 2013","Gull work on Sable Island 2013","NULL","103"
22,"Taylor - Ipswich Sparrow","TaylorIPSP","Ipswich Sparrow survival and migratory behaviour","Ipswich Sparrow survival and migratory behaviour on Sable Island[BR]Zoe Crysler and Dr. Phil Taylor - Acadia University 2013/2014[BR]Lucas Berrigan and Phil Taylor - Acadia University 2016-2017[BR]Survival and migratory behaviour of Ipswich sparrows on Sable Isl","1","103"
23,"Motus","MotusAdmin","General project administration - mostly test tags.","General project administration - mostly test tags.","1","2"
24,"Norris","Norris","White-throated Sparrow orientation and migration studies.","White-throated Sparrow orientation and migration studies.Dr. Ryan Norris, Dr. Dmitry Kishkinev - University of Guelph","NULL","259"
25,"obrien","R5_SALS","Shorebird work on the Gulf of Maine.  Saltmarsh Sparrow migration project.  ","Sparrow and shorebird work on the Gulf of Maine.Kate OBrien - USFWSKate OBrien's Saltmarsh Sharptailed Sparrow project at Rachel Carson NWR.","2","248"
26,"Salda - Atlantic Bank Swallows","Salda","Studying foraging and roosting habitat selection in Bank Swallows.","Studying foraging and roosting habitat selection in Bank Swallows.Sarah Saldahana - Dalhousie University and Acadia University","NULL","221"
27,"Smith","PSmith","A wide variety of migratory shorebird projects focusing on Semipalmated Sanpipers and Red Knots.","A wide variety of migratory shorebird projects focusing on Semipalmated Sanpipers and Red Knots.Dr. Paul Smith - Environment Canada","3","236"
28,"Taylor - Petrels","TaylorPetrels","Foraging behaviour or Leach's Storm Petrels in Nova Scotia","Foraging behaviour or Leach's Storm Petrels in Nova Scotia - Acadia University","NULL","103"
29,"R5_SALS","R5_SALS2","Currently only winter/spring deployments on Saltmarsh Sparrow (SALS) in South Carolina","NULL","2","252"
30,"Range Tests","test","Tags used for range tests, or not attached to organisms, but whose data are still real.","NULL","NULL","2"
31,"Louisiana SPDOR VHF Network","Louisiana SPDOR","Louisiana Department of Wildlife and Fisheries' Statewide Detection for Organismal Research (SPDOR) VHF Network[BR]","The Statewide Passive Detection for Organismal Research (SPDOR) VHF Network project expects to deploy 30 receiver stations within the Louisiana Coastal Zone and along major migration corridors through generous financial and/or field staff support from the ","1","19965"
32,"Dowling","Dowling","Migratory season tracking of eastern red, hoary, and silver-haired bats to inform migration ecology and offshore wind development","Wind energy development is promoted by both governmental and nonprofit entities as an environmentally friendly alternative to greenhouse gas-emitting fossil fuels.  However, wind farms can have negative impacts on wildlife, including bats (GAO 2005).  A re","NULL","245"
33,"Ernst","Ernst","Fall deployments on Saltmarsh Sparrows in Rhode Island","Saltmarsh Sparrows[BR]Nick Ernst - USFWS","2","247"
34,"Gratto","Gratto","Piping Plover post-breeding dispersal in Nova Scotia.","Piping Plover post-breeding dispersal in Nova Scotia.Cheri Gratto-Trevor - Environment Canada","NULL","243"
35,"Powdermill Nature Reserve","PARC","Studies investigating stopover ecology of migrant songbirds at Carnegie Museum of Natural History's Powdermill Avian Research Center (PARC).","NULL","2","407"
36,"Chickadee natal dispersal and social behavior","UOLavalBCCH","PIs: Julie Morand-Ferron (U of Ottawa), Andre Desrochers (U Laval).[BR]Establishment of juvenile Black-capped Chickadees in winter flocks.[BR]","We want to understand the links between natal dispersal and the establishment of social relationships by juvenile Black-capped Chickadees (Poecile atricapillus) once they settle into winter flocks. We wish to determine whether social establishment patterns","NULL","235"
37,"Wheeler - Loggerhead Shrike","OntLOSH","Captive bred Loggerhead Shrike experiment.","Wildlife Preservation Canada has been coordinating the captive-breeding and release program for Loggerhead Shrike in Ontario since 2003.  PVAs have indicated that overwinter survival of hatch-year and second-year birds is the most sensitive factor in deter","1","571"
38,"James Bay Shorebirds","JamesBay","Multi-agency shorebird monitoring on the western coast of James Bay.","Collaborative monitoring and research on shorebirds is being conducted by the Royal Ontario Museum, the Ontario Ministry of Natural Resources, Bird Studies Canada, Trent University, and the Canadian Wildlife Service and in conjunction with a larger conserv","3","317"
39,"Nol/Parada- Blackpoll Warbler Migration","NolBLPW","NULL","NULL","NULL","278"
40,"EC - Arctic Shorebirds","BurntPoint","Collective of stations throughout the Canadian arctic and subarctic in support of shorebird ecology research.","Collaborative shorebird breeding ecology and migration project in Canadian arctic and flyways.[BR]Dr. Paul Smith - Environment Canada[BR]Dr. Erica Nol - Trent University[BR]Dr. Rod Brook - Ontario Ministry of Natural Resources and Forestry[BR]Lisa Pollock - Ontari","NULL","654"
41,"Max Planck ","Vorneweg","Bat Tracking","","NULL","552"
42,"Tremblay - Boreal Woodpeckers as forest indicators","Tremblay","To be completed by PI","To be completed by PI","NULL","234"
43,"Eastern Shore of Virginia National Wildlife Refuge","Denmon","1 Motus Station maintained by ESV - NWR - USFWS","1 Motus Station maintained by ESV - NWR - USFWSPam Denmon - USFWS ","2","249"
45,"Merlin","AdamSmith","Digitally-coded tags on southward migrating Merlins captured during fall on Block Island, Rhode Island ","Digitally-coded tags on southward migrating Merlins captured during fall on Block Island, Rhode Island","1","447"
46,"Stutchbury - Ontario Wood Thrush","OntWOTH","Survival, dispersal, and on-set of migration for juvenile and adult Wood Thrush.","Survival, dispersal, and on-set of migration for juvenile and adult Wood Thrush.","1","474"
47,"Red Knot Staging and Migration Ecology","Niles","Stopover and migration ecology of Red Knots at Delaware Bay, NJ.","The Red Knot (rufa subspecies) suffered remarkable declines in the last two decades. As part of a large international research and conservation effort, this study is investigating the staging ecology, migration timing and routes of Red Knots from critical ","9","256"
48,"Northeast Motus Collaboration","NE-Motus","A collaborative effort expanding inland Motus receiver locations throughout the Northeastern United States in support of all projects.","The Northeast Motus Collaboration is a cooperative effort between the Willistown Conservation Trust, Project Owlnet, the Ned Smith Center for Nature and Art, and the Carnegie Museum of Natural History to increase the coverage of the Motus based network of ","1","260"
49,"Thrush post-breeding ecology in Quebec","QC-Thrush","PIs: Andre Derochers (U Laval), Junior Tremblay & Yves Aubry (Env Canada)[BR]Breeding, post-breeding, and migratory ecology of BITH, SWTH, GCTH.","We want to document and understand post-breeding dispersal and fall migration by three species of boreal forest thrushes, in collaboration with other MOTUS research teams. More specifically, we want to determine whether these species shift their home range","3","234"
50,"Morbey - Protandry","Protandry","Protandry study on migratory warblers through Ontario. Also some data on Myotis bats on the Bruce Peninsula.","Protandry study on migratory warblers through Ontario.Dr. Yolanda Morbey and Dr. Chris Guglielmo - Western University","NULL","239"
51,"Nol - Wintering Shorebirds","NolWS","Erica Nol -  wintering shorebirds","Erica Nol - wintering shorebirds","1","278"
54,"Indiana Bats - 2015","Indiana_bats","Indiana Bats - 2015","Indiana Bat Migration. Indiana Bats - 2015Dr. Liam McGuire - Texas Tech Dr. Justin Boyles - Southern Illinois U","NULL","254"
55,"Norris - MOBU 2015","NorrisMOBU","Monarch butterfly foraging and migration behaviour.","Monarch butterfly foraging and migration behaviour.[BR]Dr. Ryan Norris[BR]Grace Pitman","NULL","259"
56,"Erie Bird Observatory - Presque Isle Migrants","PresqueIslePA","Habitat use by land birds along the Lake Erie shoreline of Pennsylvania during migration.","The coastal zone of Pennsylvania along Lake Erie has been extensively modified and developed, with relatively few areas of natural habitat cover remaining. This study will use the Motus system to help understand movements among patches and duration of stay","1","377"
57,"SELVA Colombia","SELVA","SELVA's migratory bird program includes several projects aimed at understanding stopover behavior and over-winter habitat use in Colombia.[BR]","1)Landscape use and continental movement patterns of Gray-cheeked Thrush: [BR]The duration of migration is mostly determined by the length of stopovers made between the site of origin and that of final destination. However, stopover sites are unfamiliar plac","9","2452"
58,"Semipalmated Sandpiper stopover in Plymouth, MA","Plymouth","A joint project between Manomet and MassWildlife will be deploying nanotags on SESAs in Plymouth Bay to learn more about their local stopover ecology.","A joint project between Manomet and MassWildlife will be deploying nanotags on SESAs in Plymouth Bay to learn more about their local stopover ecology.","NULL","669"
59,"NJ Audubon - Delaware Bay Shorebirds","NJA-DEBay","Track Semipalmated Sandpipers staging in Delaware Bay during spring migration","The objectives are several.  First, we aim to document habitat use, movement patterns and length of stay in Semipalmated Sandpipers (SESA)staging in Delaware Bay the during spring migration staging periods. For these data needs, we will deploy tags during ","1","275"
60,"Mitchell - Canada Warbler - Stopover Ecology","Mitchell","Stopover ecology and habitat selection and migration of Canada Warblers in southern Ontario.","Stopover ecology and habitat selection and migration of Canada Warblers in southern Ontario.Dr. Greg Mitchell - Environment Canada","NULL","365"
61,"EC Auks","ECauks","Black Guillemot and Razorbill study in the Bay of Fundy.","Black Guillemot and Razorbill study in the Bay of Fundy.Dr. Rob Ronconi - Environment Canada","NULL","379"
62,"Western Chickadees","Course","Christopher Course - Western University Black-capped Chickadee Study","NULL","NULL","430"
63,"Saskatchewan Migratory Shorebirds","USask","Shorebird stopover timing and habitat use in Saskatchewan","Investigating shorebird stopover timing at Chaplin and Reed Lake, Saskatchewan.[BR]Christy Morrissey - University of Saskatchewan[BR]Ann McKellar - Environment Canada","1","354"
64,"Ohio State University","Tonra","Rusty Blackbird stopover ecology and Black-crowned Night Heron post-fledging survival","To be completed by PI","1","548"
65,"Texas Gulf Coast Migratory Shorebirds","TXShorebirds","Stopover and migration ecology of migratory REKN and SAND on the Texas Coast.","Stopover and migration ecology of REKN and SAND on the Texas Coast in relation to contaminant exposure[BR][BR]David Newstead - Coastal Bend Bays & Estuaries Program [BR]Christy Morrissey - University of Saskatchewan","NULL","354"
66,"EBM_Coats (#66)","EBM_Coats","Arctic-breeding shorebirds captured on the nest during the breeding season between 2014-2016","NULL","1","236"
67,"Nol - Churchill Shorebirds","Churchill","Assessing Departure and Stopover Ecology of Two Species of Migrating Shorebirds[BR]","We test specific hypotheses relating both intrinsic (e.g., age, sex, condition) and extrinsic factors[BR](habitat quality,habitat degradation by arctic geese) to the patterns of departure and stopover ecology of two species of migrating shorebirds. We capita","3","278"
68,"Arctic Shorebirds - CWS Yellowknife","CWS-YK","Arctic Shorebird Monitoring Program, Canadian Wildlife Service, Northern Region","NULL","1","489"
69,"Hilliardton Marsh Research and Education Centre","Hilliardton","To be completed by PI","To be completed by PI","NULL","2"
70,"Ontario Bank Swallows","ErieBANS","Tracking foraging and roosting areas of Bank Swallows nesting at aggregate pits and lake shore bluffs. ","Tracking foraging and roosting areas of Bank Swallows nesting at aggregate pits and lake shore bluffs. Bird Studies Canada and Environment CanadaDr. Greg MitchellDr. Erica NolTianna BurkeMyles Falconer","NULL","374"
71,"Migration and dispersal of bats at Lake Erie","Erie Bats","Study of bat migration, post-breeding dispersal and habitat use in Norfolk County and Long Point, Ontario.","Study of bat stopover and migration (including cross-lake migration) of migratory tree bats at Long Point, Ontario. [BR][BR]Study of post-breeding dispersal and habitat use of Myotis lucifugus in Norfolk County, Ontario.[BR][BR]Bird Studies Canada - Long Point Bir","1","2"
72,"Atlantic Canada BITH","AtlanticBITH","Post-breeding dispersal and migratory movements of Bicknell's Thrush in Atlantic Canada.","Post-breeding dispersal and migratory movements of Bicknell's Thrush in Atlantic Canada.[BR][BR]Project partners: Bird Studies Canada, University of New Brunswick, Acadia University, Parks Canada, Environment Canada.","NULL","621"
73,"Mississippi Clapper Rail","GulfCoastRails","Using automated telemetry to estimate seasonal and annual survivorship of Clapper Rails in emergent marshes of the northern Gulf of Mexico","NULL","NULL","426"
74,"CT River Valley Migratory Songbird Study","CTRiver","Migratory passerine use of the Connecticut river valley in Massachusetts, Vermont, and New Hampshire. ","David King - UMASS","NULL","432"
75,"AlaskaBats","AlaskaBats","Dr. Liam McGuire, Dr. Justin Boyles, Dr. Gary McCracken. Tracking Myotis lucifugus around Wrangell-St. Elias National Park, Alaska.","We will tag little brown bats (Myotis lucifugus) at a colony adjacent to Wrangell-St. Elias National Park in Alaska. Towers are placed along the Copper River valley to detect possible southward fall migration. ","NULL","254"
76,"Control of nocturnal departure times","Helgoland","To understand how the onset of nocturnal departure times is controlled in long-distance songbird migrants","Most nocturnal songbird migrants travel without social guidance between the breeding and wintering areas. To arrive at the correct place and time, their innate migration program defines the spatiotemporal organisation of migration and their reactions to th","1","431"
77,"NJ Chick Survival","Stantial","This project will examine factors limiting reproductive success in New Jersey.","We will be attaching nano-tags to piping plover adults and chicks in southern New Jersey from Barnegat Lighthouse State Park to Cape May Point State Park.  We will monitor movements of adults and chicks, examine differences in activity patterns of males an","NULL","320"
78,"Atlantic Canada Shorebirds","AtlCanShorebirds","Assessing movement, habitat use and length of stay of migrating shorebirds during stop-over in Atlantic Canada. ","Diana Hamilton - Mount Allison University[BR]Julie Paquet - Environment Canada[BR]","3","219"
79,"Kent State - Ohio Bats ","UABatMig","Using telemetry to characterize the timing and duration of spring migration of long distance migrant bats in the western basin of Lake Erie.","NULL","NULL","349"
80,"Shoener Illinois Bats","Shoener","Fall migration of federally-listed bat species","Project is studying the migration and habitat selection of a federally-listed bat species from summer foraging habitat to winter hibernacula in central IL. ","NULL","453"
81,"British Columbia - Lower mainland Barn Swallows","BC-BARS","Habitat use and mortality of fledgling Barn Swallows in the lower mainland","To be completed by PI","NULL","617"
82,"Maine - American Woodcock","RBrownAMWO","American Woodcock","American Woodcock[BR]Looking at woodcock migration along the Atlantic coast","2","476"
83,"BIMYWA","BIMYWA","Digitally-coded tags on southward migrating passerines (BLPW, MYWA, HETH, REVI) captured during fall on Block Island, Rhode Island","Tracking Blackpoll Warblers, Myrtle Warblers, Hermit Thrushes, and Red-eyed Vireos on captured during fall migration on Block Island, Rhode Island ","2","480"
84,"University of Connecticut - Saltmarsh Sparrow ","Soares","University of Connecticut - Saltmarsh SparrowChris ElphickMichael Soares","Overall goal is to track migration of saltmarsh sparrows; project is a collaboration between USFWS and the Universities of Connecticut and New Hampshire.  Tags are being deployed by several different groups.  Towers in CT are being maintained by my lab.","NULL","475"
85,"Canadian Snow Bunting Network","McKinnonSNBU","Tracking the over-wintering and migratory movements of Snow Buntings in eastern North America.","Oliver LoveEmily McKinnonMarie-Pier LaplanteChristopher HarrisChristie Macdonald","NULL","535"
86,"Taylor - Blackpoll Warbler","TaylorBLPW","Regional-scale and fine-scale movement decisions of post-breeding and migratory Blackpoll Warblers tagged on Nova Scotia's South Shore","Regional-scale dispersal: This study examines the scale and motivations underlying movement of adult and juvenile songbirds during post-fledging dispersal (between termination of breeding and onset of migration). We found that movements span over 500 km fr","NULL","103"
87,"Taylor - MYWA","TaylorMYWA","Examining the scope and scale of post-breeding movements of two related species with alternate life-history strategies nesting on islands in NS. ","NULL","NULL","375"
88,"Monomoy - Steph Koch","MA_REKN","Nanotags are being placed on Red Knots on Cape Cod, MA, with the goal of learning more about important stopover sites and migration pathways.","Monomoy NWR and nearby beaches on Cape Cod support large concentrations of southward migrating Red Knots (Federally-listed) on the Atlantic seaboard. This region is significant because it hosts northern-wintering (NW) and southern-wintering (SW) adults (wh","2","519"
89,"Taylor - Terns","TaylorTerns","Breeding ground movements of Arctic and Common Terns in Nova Scotia","NULL","NULL","103"
90,"Gerson - Apalachicola Florida","Gerson","NULL","NULL","NULL","538"
91,"SCraik - NSWO","CraikNSWO","Migration and habitat use by Northern Saw-whet Owls","Banding data suggest that large numbers of Northern Saw-whet Owls (Aegolius acadicus) migrate through southwest Nova Scotia during fall; at least some of these owls may winter in the region. Despite this, we know next-to-nothing about staging and wintering","NULL","493"
92,"Ontario Barn and Cliff Swallows","GuelphBARS","Collaborative project examine post-breeding dispersal and survival of swallows in southern Ontario. ","Collaborative project examine post-breeding dispersal and survival of swallows in southern Ontario.","3","365"
93,"Pitman - Green Darner","PitmanGRDA","NULL","NULL","NULL","337"
94,"Cliff Lemen 2015","Lemen","NULL","NULL","NULL","232"
95,"BellVagrantsNS","BellVagrant","Studying reorientation of vagrant passerines and near-passerines in Nova Scotia, CA","NULL","1","504"
96,"Lefevre - Florida Gulf Coast University","Lefevre FGCU","Expanding the Motus network to southern Florida","Initial aims of the project are tracking regional movements of seabirds on the Gulf Coast, and helping to fill the gap of coverage in the southeast USA.","1","520"
97,"BSC tags for later distribution","BSC","This is project is a tag bank, to hold registrations for tags acquired by BSC and others, but intended for later distribution to other projects.","NULL","NULL","2"
98,"Zvenigorod","Zvenigorod","NULL","NULL","NULL","232"
99,"Taylor - Green Darner","TaylorGreenDarner","Examining Green Darner stop over and migratory movements in SW Nova Scotia.","NULL","NULL","375"
100,"Stutchbury - Ontario Savannah Sparrow","Stutchbury","Dispersal and onset of fall migration of juvenile and adult Savannah Sparrow in Southern Ontario. ","To be completed by PI","NULL","474"
101,"Sandiland 2016: Ontario Myotis","Sandilands","Tracking of Little Brown Myotis at a roost south of Cambridge Ontario","Tracking of Little Brown Myotis from the Sandilands Roost, south of Cambridge, Ontario to find alternate roosts, landscape use and potentially track migration or hibernation locations.","NULL","611"
102,"SentinelTag","SentinelTag","A pilot study led by Simon Bonner (Western University) to determine how to use tags as sentinels.","Tags registered with this project are for use as sentinels, i.e. they are[BR]deployed at a site to verify or calibrate operation of the receivers, rather[BR]than to track an organism.[BR][BR]TODO:  tags in this project will only be sought in data from receivers c","NULL","239"
103,"NYC Audubon","NYCA-SESA","NYC Audubon will be using VHF NanoTags in order to track movements of Semipalmated Sandpipers stopping over in Jamaica Bay, NY during their migration.","This project is part of a larger effort to understand the importance of Jamaica Bay, NY to migrating shorebirds. More needs to be understood about how shorebirds use various habitats within the bay, and how Jamaica Bay fits in as a stopover site in their g","1","3508"
104,"Perlut - Maine Forest Birds","Perlut","Banding station deploying nanotags on migrant songbirds in a coastal forest in southern Maine (Biddeford).  ","Our banding station will deploy nanotags on migrant songbirds stopping at the University of New England's 363 acre coastal forest in Biddeford, ME.  This oak-pine forest dates to the late-1940s (it burned in 1947).  The banding station operates two morning","1","613"
105,"EC - Phalaropes","Ronconi","NULL","NULL","NULL","379"
106,"Gros Morne National Park","GrosMorne","We are operating Motus Tower(s) in Gros Morne and possibly other sites in western Newfoundland to support the Motus network","To be completed by PI","NULL","619"
107,"Acadia National Park","AcadiaNP","Operation and maintenance of 3 Motus stations in and around Acadia National Park.","NULL","NULL","620"
108,"SFU - Paracas Shorebirds","SFU_Paracas","To be completed by PI's","To be completed by PI's","NULL","2470"
109,"Taylor - SWTH","Taylor-SWTH","Post-breeding dispersal of Swainson’s Thrush on Bon Portage and Seal Island in Nova Scotia. Research conducted by Lucas Berrigan and Phil Taylor.","This project will focus on the post-breed dispersal period of Swainson's Thrushes in the Gulf of Maine region. Local birds from two islands (Bon Portage and Seal Island) will be fitted with radio tags using the figure-eight leg loop harness method. The Mot","NULL","547"
110,"Holberton 2015-16","Holbt15_16","NULL","NULL","NULL","242"
111,"LPBO-Moult Migrants","LPBO-MltMig","Study on the stopover times and migration of moult-migrant Swainson's Thrush and Tennessee Warblers at Long Point, O and Montreal, QC.","Study on the stopover times and migration of moult-migrant Swainson's Thrush and Tennessee Warblers at Long Point, O and Montreal, QC.Stuart Mackenzie - Long Point Bird ObservatorySimon Duval and Marcel Gahbauer - Migration Research Foundation and McGil","NULL","2"
112,"BSC-Common Nighthawks","BSC-CONI","Study of Common Nighthawk igration from Thunder Cape Bird Observatory (Thunder Bay, ON) to Hawk Ridge Bird Observatory (Duluth, MN) and beyond...","Study of Common Nighthawk igration from Thunder Cape Bird Observatory (Thunder Bay, ON) to Hawk Ridge Bird Observatory (Duluth, MN) and beyond...Stuart Mackenzie - Bird Studies CanadaDr. Mark Brigham - University of ReginaDr. Liam McGuire - Texas Tech ","NULL","2"
113,"Wageningen University & Research","WUR","Bat and bird migration in relation to wind energy","NULL","1","554"
114,"Europe - Bats","PNAT","Long distance migration of Nathusius' Pipistrelle (Pipistrellus nathusii) in the Baltic-North Sea Region ","Populations of Nathusius’ pipistrelle (Pipistrellus nathusii), an insectivorous aerial-hawking bat that breeds in north-eastern Europe, perform long-distance migrations between breeding sites and hibernation areas in western and central Europe. As bats mig","NULL","678"
115,"Long Point Vagrants","VagrantsLP","Study on the behaviour of vagrants at Long Point Ontario. ","NULL","NULL","2"
116,"Migration in Song Sparrows","SOSPMigration","Monitoring movements of our long-term study population of song sparrows","NULL","1","687"
117,"French Guiana Shorebirds","Guiana","Shorebird research in French Guiana - to be completed by PI's","Shorebird research in French Guiana - to be completed by PI's","NULL","233"
118,"Tadoussac NSWO","TadoussacNSWO","We want to monitor the migration pattern(s) of NSWO from Tadoussac, Quebec till the wintering areas of the species in eastern North-America. ","To be updated by PI","NULL","2315"
119,"Missouri - E. Whip-poor-will","BoylesEWPW","To be completed by PIs.","To be completed by PIs.","NULL","257"
120,"Western Gulf Avian Resource Assessment","WGARA","Joint project with Gulf Coast Bird Observatory and Texas Mid-Coast NWR Complex to establish 15 antenna arrays along the upper and central Texas coast","GCBO and USFWS will establish approximately 15 stations along the upper and central Texas coast that will support researchers throughout the Americas and can also be used to investigate life history variables of the large population of Gulf Coast wintering","2","2320"
121,"Maggini - Eastern Austria","Maggini","Studies on stopover physiology around Lake Neusiedl (Eastern Austria) during fall migration.","The aim of this project is to establish a network of receivers to study several aspects of stopover ecology of fall migrants through central Europe. A small network of receivers (5 to 8) will be established in the Neusiedler See area, at the border between","NULL","2323"
122,"Rushton Woods","RushtonWds","To be entered by PI","To be entered by PI","NULL","457"
123,"BIRDMOVE - Songbird migration 2017 and spring 2018","BIRDMOVE_2017","Song bird migration at the German North Sea coast during spring and autumn 2017 and spring 2018.","NULL","1","2340"
124,"NJA - South America Shorebirds","NJA-TU_SESA-SA","To be completed by PI","To be completed by PI","1","275"
125,"Guyra Paraguay","GuyraPARA","SHorebirds in Bahía de Asunción, Paraguay","Monitoring use of the Asunción Bay by migratory shorebirds as stopover site","1","2351"
126,"Louisiana Yellow Rail","LA_YERA","To be completed by PIs","To be completed by PIs","1","623"
127,"Knockaert Raptors","KNOCKAERT","To be entered by PI","To be entered by PI","NULL","2360"
128,"Panama Prothonotary Warbler","PANAMA_PROW","Winter Ecology of Prothonotary Warblers","Tracking site fidelity and movement of wintering PROW in a variety of habitat qualities. Ohio State University project in collaboration with Prothonotary Warbler Working Group.","NULL","591"
129,"University of Oklahoma","U_OK","Tracking bird movements through the south-central United States","We are using coded tags to track migratory bird movements. Our work will also focus on expanding the detection capacity of the Motus network within the Central North American Flyway, with emphasis on migratory stopover and wintering aggregations.","1","2373"
130,"Chiloe Hudsonian Godwit","CHILOW_HUGO","Stopover ecology of Hudsonian Godwit in Chiloe.","To be completed by PI","NULL","488"
131,"York University Killdeer","YU_KILLDEER","NULL","NULL","NULL","2374"
132,"Least Tern - Microsite Assessment of Range Ecology","LETE_RANGE_ECO","This project aims to determine general utilizations of space and the overall time effort devoted to foraging and breeding activities for least tern.","This project aims to determine general utilizations of space and the overall time effort devoted to foraging and breeding activities for least tern at a designed, near-shore microsite in Southern Louisiana. Wilson's plover may also be tagged and monitored ","NULL","652"
133,"LINWRC Bird and Bat Tracking","LINWRC","To be entered by PI","To be entered by PI","2","2535"
134,"Autumn Migration of Northern Myotis in PA","N_MYOTIS_PA","The goal of our project is to describe the nature and timing of autumn migration in the northern myotis (Myotis septentrionalis) in Pennsylvania.","The goal of our project is to describe the phenology of autumn migration in the northern myotis (Myotis septentrionalis) in Pennsylvania. This project aims to benefit the recently listed species by determining the timing of autumn migration, whether indivi","2","2398"
137,"Abiotic and biotic influences on Snowfinch","Snowfinch","Abiotic and Biotic Influences on Spatio-temporal Population Dynamics in Alpine Environmental Conditions: the snowfinches as a case study","The mechanisms regulating populations are poorly understood and controversial, yet elucidating them is essential for predicting how populations will respond to environmental perturbations such as climate change. The combination of the exogenous (e.g. clima","NULL","354"
